name,quantity,itemEffects,weight,value,description,durability,oldItemTier,,,
Trident,1,"Large Spear (+1) (One-handed), Large Spear (+1) (Two-handed), Thrown Large Spear (+1) (One-handed)",3,5 bc,,15/15,Quality,,,
Poleaxe,1,"Large Bludgeon Melee (+0) (One-handed), Large Bludgeon Melee (+0) (Two-handed), Large Hew Melee (+0) (One-handed), Large Hew Melee (+0) (Two-handed), Large Spear (+0) (One-handed), Large Spear (+0) (Two-handed)",6,40 bc,,12/12,Mundane,,,
Wooden Javelin,1,"Medium Spear (-1) (One-handed), Medium Spear (-1) (Dual-wielded), Thrown Medium Spear (-1) (One-handed)",2,25 cc,,9/9,Shoddy,,,
Javelin,1,"Medium Spear (+0) (One-handed), Medium Spear (+0) (Dual-wielded), Thrown Medium Spear (+0) (One-handed)",2,50 cc,,12/12,Mundane,,,
Swordstaff,1,"Reach Slash Melee (+0) (One-handed), Reach Slash Melee (+0) (Two-handed), Reach Spear (+0) (One-handed), Reach Spear (+0) (Two-handed)",6,50 bc,,12/12,Mundane,,,
Halberd,1,"Reach Slash Melee (+0) (One-handed), Reach Slash Melee (+0) (Two-handed), Reach Hafted Point, Reach Spear (+0) (One-handed), Reach Spear (+0) (Two-handed)",7,20 bc,,12/12,Mundane,,,
Long Poleaxe,1,"Reach Bludgeon Melee (+0) (One-handed), Reach Bludgeon Melee (+0) (Two-handed), Reach Hew Melee (+0) (One-handed), Reach Hew Melee (+0) (Two-handed), Reach Spear (+0) (One-handed), Reach Spear (+0) (Two-handed)",7,41 bc,,12/12,Mundane,,,
Lance,1,"Reach Spear (+0) (One-handed), Reach Spear (+0) (Two-handed)",11,10 bc,,12/12,Mundane,,,
Pike,1,"Reach Spear (+0) (One-handed), Reach Spear (+0) (Two-handed)",5,5 bc,,12/12,Mundane,,,
Swordbreaker,1,"Small Slash Melee (+0) (One-handed), Small Slash Melee (+0) (Dual-wielded), Thrown Small Slash Melee (+0) (One-handed), Small Slash Melee (+0) (Dual-wielded), Swordbreaker Blade Catch",1,25 bc,,12/12,Mundane,,,
Crowbar,1,"Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded), Thrown Small Bludgeon Melee (+0) (One-handed), Thrown Small Bludgeon Melee (+0) (Dual-wielded)",5,2 bc,,12/12,Mundane,,,
Hammer,1,"Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded), Thrown Small Bludgeon Melee (+0) (One-handed), Thrown Small Bludgeon Melee (+0) (Dual-wielded)",3,1 bc,,12/12,Mundane,,,
"Hammer, Sledge",1,"Large Bludgeon Melee (+0) (One-handed), Large Bludgeon Melee (+0) (Two-handed)",10,2 bc,,12/12,Mundane,,,
"Pick, Miner's",1,"Large Pierce Melee (+0) (One-handed), Large Pierce Melee (+0) (Two-handed)",10,2 bc,,12/12,Mundane,,,
Light Crossbow,1,"Light Crossbow (+0) (One-handed), Light Crossbow (+0) (Two-handed)",5,25 bc,,12/12,Mundane,,,
Light Longbow,1,Light Bow (+0) (Two-handed),2,25 bc,,12/12,Mundane,,,
Shoddy Light Longbow,1,Light Bow (-1) (Two-handed),2,15 bc,,9/9,Shoddy,,,
Hand Crossbow,1,"Hand Crossbow (+0) (One-handed), Hand Crossbow (+0) (Two-handed), Hand Crossbow (+0) (Dual-wielded)",3,75 bc,,12/12,Mundane,,,
Heavy Crossbow,1,Heavy Crossbow (+0) (Two-handed),11,50 bc,,12/12,Mundane,,,
Heavy Longbow,1,Heavy Bow (+0) (Two-handed),4,50 bc,,12/12,Mundane,,,
Sling,1,Sling (+0) (Two-handed),0.5,10 cc,,12/12,Mundane,,,
Quarterstaff,1,"Large Bludgeon Melee (+0) (One-handed), Large Bludgeon Melee (+0) (Two-handed)",4,20 cc,,12/12,Mundane,,,
Quarterstaff with Hidden Spear,1,"Large Bludgeon Melee (+0) (One-handed), Large Bludgeon Melee (+0) (Two-handed), Large Spear (+0) (One-handed), Large Spear (+0) (Two-handed), Thrown Large Spear (+0) (One-handed)",4,2 bc,,12/12,Mundane,,,
Club,1,"Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded), Thrown Small Bludgeon Melee (+0) (One-handed), Thrown Small Bludgeon Melee (+0) (Dual-wielded)",2,10 cc,,12/12,Mundane,,,
Great Club,1,"Large Bludgeon Melee (+0) (One-handed), Large Bludgeon Melee (+0) (Two-handed)",10,20 cc,,12/12,Mundane,,,
Whip,1,"Whip (+0) (One-handed),  Whip (+0) (Dual-wielded)",3,2 bc,,12/12,Mundane,,,
Plumbata/Dart,1,"Small Pierce Melee (-1) (One-handed), Small Pierce Melee (-1) (Dual-wielded), Thrown Small Pierce Melee (+0) (One-handed), Thrown Small Pierce Melee (+0) (Dual-wielded)",5,5 cc,,12/12,Mundane,,,
Blowgun,1,Blowgun (+0) (One-handed),1,10 bc,,12/12,Mundane,,,
,,,,,,,,,,
Steelclaw,1,"Large Pierce Melee (+2) (One-handed), Large Pierce Melee (+2) (Two-handed), Large Slash Melee (+2) (One-handed), Large Slash Melee (+2) (Two-handed)",3,25 bc,This sword was cursed upon Vasilii Anatoli after using it to kill his eldest brother. It is a constant reminder of his shame.,18/18,Fine,,,
Frostbark,1,"Large Hew Melee (+3) (One-handed), Large Hew Melee (+3) (Two-handed), Spellcasting Focus, Cold Enchantment",4,? bc,"A Dane axe imbued with the frost found on the high peaks of the Spine of the World. Its solid oak handle appears grown into the axe head, securing it solidly in place. Latent nature and cold magic is present within the handle.",21/21,Excellent,,,
Draupnir Spear,1,"Medium Spear (+3) (One-handed), Medium Spear (+3) (Dual-wielded), Thrown Medium Spear (+3) (One-handed), Large Spear (+3) (One-handed), Large Spear (+3) (Two-handed), Thrown Large Spear (+3) (One-handed), Reach Spear (+3) (One-handed), Reach Spear (+3) (Two-handed), Spellcasting Focus, Draupnir",3,? bc,"Said to have been crafted by Siren smith long ago with the blood of a god...

This spear can be used as a Air Spellcasting Focus.",21/21,Excellent,,,
Asher's Arms Swordbreaker,1,"Small Slash Melee (+2) (One-handed), Small Slash Melee (+2) (Dual-wielded), Small Pierce Melee (-1) (One-handed), Small Pierce Melee (-1) (Dual-wielded), Thrown Small Pierce Melee (-1) (One-handed), Thrown Small Pierce Melee (-1) (Dual-wielded), Swordbreaker Blade Catch",1,?,"A fine swordbreaker purchased from Asher’s Arm, a well regarded establishment in Reddwall known for their grayish blue steel. Swordbreakers were a favorite weapon of Lord Flint Reddington. He commissioned many swordbreakers just like this one for use in dueling.

Swordbreakers, often wielded offhand to a main hand sword. They are designed to catch and bind the opponent's blade, leaving the opponent open for a decisive attack from the main hand weapon.",18/18,Fine,,,
Talon - Replica,1,"Small Pierce Melee (+1) (One-handed), Small Pierce Melee (+1) (Dual-wielded), Small Slash Melee (+1) (One-handed), Small Slash Melee (+1) (Dual-wielded)",1.5,?,"Quality shortsword taken from the Despereaux armories by Luzca Despereaux. Made to emulate the Talon short sword, a Despereaux family heirloom.",15/15,Quality,,,
Fang - Replica,1,"Small Pierce Melee (+1) (One-handed), Small Pierce Melee (+1) (Dual-wielded), Small Slash Melee (+1) (One-handed), Small Slash Melee (+1) (Dual-wielded), Thrown Small Pierce Melee (+1) (One-handed), Thrown Small Pierce Melee (+1) (Dual-wielded)",1,?,"Quality karambit knife taken from the Despereaux armories by Luzca Despereaux. Made to emulate the Fang karambit knife, a Despereaux family heirloom.",15/15,Quality,,,
Sirius’s Sword,1,"Medium Pierce Melee (+2) (One-handed), Medium Pierce Melee (+2) (Dual-wielded), Medium Slash Melee (+2) (One-handed), Medium Slash Melee (+2) (Dual-wielded)",2,?,"Fine arming sword of Sirius Roseblood, first of his name. A fine sword, marked with the emblem of the dwindling House Roseblood on the crossguard.

House Roseblood isn't as wealthy as it once was during the height of the witch queen's reign. As a result, they do not have the coin for the finest craftsmen for children’s swords, owing to the more modest nature of this sword.",18/18,Fine,,,
Staff of Defense,1,"Large Bludgeon Melee (+3) (One-handed), Large Bludgeon Melee (+3) (Two-handed), Spellcasting Focus, Defense Spells, Physical Defense 1.00",3,?,,21/21,Excellent,,,
Monkey Staff,1,"Small Bludgeon Melee (+3) (One-handed), Small Bludgeon Melee (+3) (Dual-wielded), Thrown Small Bludgeon Melee (+3) (One-handed), Thrown Small Bludgeon Melee (+3) (Dual-wielded), Medium Bludgeon Melee (+3) (One-handed), Medium Bludgeon Melee (+3) (Two-handed), Medium Bludgeon Melee (+3) (Dual-wielded), Large Bludgeon Melee (+3) (One-handed), Large Bludgeon Melee (+3) (Two-handed), Reach Bludgeon Melee (+3) (One-handed), Reach Bludgeon Melee (+3) (Two-handed), Extendable Weapon",4,?,"""Monkey see, Monkey do"" - Arinoth the Enlightened

A staff from the Jungles of Leodelphia. This is all that remains of Arinoth the Enlightened's home.",21/21,Excellent,,,
Hew,1,"Medium Hew Melee (+3) (One-handed), Medium Hew Melee (+3) (Two-handed), Medium Hew Melee (+3) (Dual-wielded), Splinter",4,?,"""When you chop wood, splinters fly.""  - Anonymous

An unassuming double bladed, rusty, yet excellently crafted battleaxe both as versatile at chopping wood as chopping skulls.

Runecraft scholars have traced the origin of this axe to the first Fellkin who began harvesting the great iron woods of Reddland. Needing a tool that was both capable of felling the great iron woods and fending back the monstrous Leshens that roamed the forest, this weapon was forged.",21/21,Excellent,,,
Char - Damaged,1,"Reach Pierce Melee (-2) (One-handed), Reach Pierce Melee (-2) (Two-handed), Reach Slash Melee (-2) (One-handed), Reach Slash Melee (-2) (Two-handed), Fire Repair and Enhancement",6,?,"""It has been in the family for a bit, passed down from father to son. It’ll be yours one day junior. Who knows, you might need it someday."" -Destin Shaffer Sr.

An apparently mundane greatsword with a partially shattered tip “acquired” and used by Destin Shaffer. Destin took this sword when he left his mother and father. Taken because it was the least valuable weapon at his parents' blacksmith shop as his guilt prevented him from taking anything nicer. He always wondered why his step-father kept the hunk of junk leaning up against the wall.

Destin used this blade in his time as a mercenary. He had plenty of opportunities to claim more elegant weapons from fallen opponents, though he could never part with the blade.

During Destin's confrontation with the Demon Helena, he sacrificed the damaged blade for one more powerful strike to in a desperate attempt defend the fleeing prisoner’s and his friends. The sword shattered, though somehow managed to hold itself together, surging with red heat visible through the cracks. Recently, Destin has discovered that the weapon seems capable of repairing itself under extreme heat.

Shattered and broken, Destin continues to carry this blade.",6/6,Damaged,,,
Char - Shoddy,1,"Reach Pierce Melee (-1) (One-handed), Reach Pierce Melee (1-) (Two-handed), Reach Slash Melee (-1) (One-handed), Reach Slash Melee (-1) (Two-handed), Fire Repair and Enhancement",6,?,"""It has been in the family for a bit, passed down from father to son. It’ll be yours one day junior. Who knows, you might need it someday."" -Destin Shaffer Sr.

An apparently mundane greatsword with a partially shattered tip “acquired” and used by Destin Shaffer. Destin took this sword when he left his mother and father. Taken because it was the least valuable weapon at his parents' blacksmith shop as his guilt prevented him from taking anything nicer. He always wondered why his step-father kept the hunk of junk leaning up against the wall.

Destin used this blade in his time as a mercenary. He had plenty of opportunities to claim more elegant weapons from fallen opponents, though he could never part with the blade.

During Destin's confrontation with the Demon Helena, he sacrificed the damaged blade for one more powerful strike to in a desperate attempt defend the fleeing prisoner’s and his friends. The sword shattered, though somehow managed to hold itself together, surging with red heat visible through the cracks. Recently, Destin has discovered that the weapon seems capable of repairing itself under extreme heat.

Shattered and broken, Destin continues to carry this blade.",9/9,Shoddy,,,
Char,1,"Reach Pierce Melee (+0) (One-handed), Reach Pierce Melee (+0) (Two-handed), Reach Slash Melee (+0) (One-handed), Reach Slash Melee (+0) (Two-handed), Fire Repair and Enhancement",6,?,"""It has been in the family for a bit, passed down from father to son. It’ll be yours one day junior. Who knows, you might need it someday."" -Destin Shaffer Sr.

An apparently mundane greatsword with a partially shattered tip “acquired” and used by Destin Shaffer. Destin took this sword when he left his mother and father. Taken because it was the least valuable weapon at his parents' blacksmith shop as his guilt prevented him from taking anything nicer. He always wondered why his step-father kept the hunk of junk leaning up against the wall.

Destin used this blade in his time as a mercenary. He had plenty of opportunities to claim more elegant weapons from fallen opponents, though he could never part with the blade.

During Destin's confrontation with the Demon Helena, he sacrificed the damaged blade for one more powerful strike to in a desperate attempt defend the fleeing prisoner’s and his friends. The sword shattered, though somehow managed to hold itself together, surging with red heat visible through the cracks. Recently, Destin has discovered that the weapon seems capable of repairing itself under extreme heat.

Shattered and broken, Destin continues to carry this blade.",12/12,Mundane,,,
Epilogue,1,"Medium Pierce Melee (+3) (One-handed), Medium Pierce Melee (+3) (Dual-wielded), Medium Slash Melee (+3) (One-handed), Medium Slash Melee (+3) (Dual-wielded), Ending",2,?,"""There is no real ending. It's just a place where you stop the story.""

This excellent slender bastard sword is perfectly balanced. Nimble, thin, and razor sharp.

A relatively unknown Runecraft to the wider populace, this sword is highly debated by scholars of war and Runecrafts. ""Ending"", ""Epilogue"", ""The Last Word"", ""An Ending to things"", ect… are all names for what scholars believe is the same sword recorded across many myths from various cultures, long into the past. Always described as a slender, long, graceful sword as easy to use in one hand as two. This sword seems to end up in the hands of ill fated rogues and rebels.

Killing with this weapon seems to mysteriously decapitate the victim's head from their bodies. In some tales it is only when the user of the sword deals a killing blow, while in older tales a single nick from the blade would lead to instant decapitation. Users report seeing flashes of the life they’ve cut off and all the generations in an instant.

 Appearing in various forms throughout history such as a rapier or slender long sword. This has led some scholars to argue that this sword is in fact multiple swords with similar effects. The Battle Scholars of the Dawn Empire had this weapon in their great collection in Crossroads long ago, and it was mysteriously lost. They recorded the weapon as only decapitating on a death blow, testing it on condemned criminals. Such a weak effect led to reduced research on the weapon while it was in their possession. However, they never were able to replicate its Runecraft, odd for such a weak effect. No weapon has ever been recorded as having a similar effect, leaving some scholars to ponder if there is more to this Runecraft…",21/21,Excellent,,,
Echo,1,"Medium Pierce Melee (+5) (One-handed), Medium Pierce Melee (+5) (Two-handed), Medium Pierce Melee (+5) (Dual-wielded), Medium Slash Melee (+5) (Two-handed), Medium Slash Melee (+5) (One-handed), Medium Slash Melee (+5) (Dual-wielded)",2,?,"""What is a myth? An echo of the past in the future. I can hear it dear sister, can't you…"" - Lord Maxwell Reddington

The arming sword of Lord Maxwell Reddington, taken from the crypt underneath Castle Tearstone.

Lord Maxwell Reddington was heir to House Reddington and to the Kingdom of Reddland. Maxwell was an academic of Byrgenwerth, like his sister Veronica, and was fascinated by the ancient culture of the Siren’s who used to call Reddwall their own. He spent much of his time and dowry funding expeditions into the ancient Siren catacombs that Reddwall stand up today. On one of these expeditions with his younger sister Lady Veronica Reddington, they discovered something deep within the catacombs. Maxwell returned with this sword and Veronica shortly after invented the first healing bloods of Reddwall.

After that fateful day, Maxwell began to worship the Moon Presence. On a diplomatic mission to Crossroads with his sister, Maxwell had an apparent mental breakdown. He raved and blasphemed the Bright Lord in front of the Emperor, and was sentenced to death for his heresy. Veronica was held hostage and war between Reddland and the Empire almost erupted. However, an outlaw pirate Lord known as the Laughing Storm blockaded the Iris Sea and promised to burn and pillage all vessels until Veronica was safely released.

In the end, peace was agreed upon between the two powers. Veronica was barren, so it was agreed the next heir of Reddwall would be bound to the next heir of the Dawn Empire, unifying countries in blood. The entire event was later known as “The Red Blasphemy”.

The Laughing Storm, one of the greatest pirate lords and outlaws to have ever lived, turned himself over to the Reddland navy voluntarily. Sentenced to death, he was pardoned by the now Lady Veronica Reddington for his efforts in her rescue but was indebted to serve Lady Veronica for the rest of his life. Flint Storm served faithfully as Veronica’s advisor and admiral of the Reddland Navy, until their eventual unexpected marriage.

Veronica and Flint tried for children many times, but tragedy struck every time. After years of trying, Veronica eventually bore a sickly heir, a daughter with hair as white as the full moons.",24/24,Superior,,,
Asclepius,1,"Medium Spear (+7) (One-handed), Medium Spear (+7) (Dual-wielded), Thrown Medium Spear (+7) (One-handed), Large Spear (+7) (One-handed), Large Spear (+7) (Two-handed), Thrown Large Spear (+7) (One-handed), Reach Spear (+7) (One-handed), Reach Spear (+7) (Two-handed), Whip (+7) (One-handed), Whip (+7) (Dual-wielded), Metal Feeding, Command Asclepius",3,?,This mastercrafted 5 foot golden snake was crafted by those that worshiped the Great Leviathan.,33/33,Mastercraft,,,
Soot and Ash,1,"Medium Pierce Melee (+9) (One-handed), Medium Pierce Melee (+9) (Dual-wielded), Medium Slash Melee (+9) (One-handed), Medium Slash Melee (+9) (Dual-wielded), Small Pierce Melee (+9) (One-handed), Small Pierce Melee (+9) (Dual-wielded), Small Slash Melee (+9) (One-handed), Small Slash Melee (+9) (Dual-wielded)",0.2,?,,39/39,Epic,,,
